product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,cpu_socket_type,memory_type
13358747,ASUS ROG STRIX Z590-I GAMING WIFI 인텍앤컴퍼니,https://img.danawa.com/prod_img/500000/747/358/img/13358747_1.jpg?shrink=330:330&_v=20210812152245,311620,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=13358747&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2583640626&package=0&setpc=0&r=16678658405714,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,3,ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4
11408766,ASUS PRIME H410M-E 인텍앤컴퍼니,https://img.danawa.com/prod_img/500000/766/408/img/11408766_1.jpg?shrink=330:330&_v=20210311110837,90020,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=11408766&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1841686495&package=0&setpc=0&r=16678670141485,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,40,ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4
16332119,MSI PRO B660M-B DDR4,https://img.danawa.com/prod_img/500000/119/332/img/16332119_1.jpg?shrink=330:330&_v=20221104122726,135000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16332119&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4168813847&package=0&setpc=0&r=16678643839715,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,5,MSI ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4
16103318,ASUS TUF Gaming B660M-PLUS D4 아이보라,https://img.danawa.com/prod_img/500000/318/103/img/16103318_1.jpg?shrink=330:330&_v=20220125141455,227480,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16103318&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C727149289&package=0&setpc=0&r=16678635273206,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,6,ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4
16103324,ASUS TUF Gaming B660-PLUS WIFI D4 인텍앤컴퍼니,https://img.danawa.com/prod_img/500000/324/103/img/16103324_1.jpg?shrink=330:330&_v=20220126134258,274540,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16103324&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2468838464&package=0&setpc=0&r=16678664528179,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,1,ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4
17926658,GIGABYTE X670E AORUS MASTER 피씨디렉트,https://img.danawa.com/prod_img/500000/658/926/img/17926658_1.jpg?shrink=330:330&_v=20220930161858,798760,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=17926658&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2603376541&package=0&setpc=0&r=16678644703083,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,1,GIGABYTE ( 제조사 웹사이트 바로가기),AMD(소켓AM5),DDR5
4946644,BIOSTAR RACING X370GT5 이엠텍,https://img.danawa.com/prod_img/500000/644/946/img/4946644_1.jpg?shrink=330:330&_v=20210819133018,140760,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=4946644&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C451652494&package=0&setpc=0&r=16678665962954,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.5,7,BIOSTAR RACING,AMD(소켓AM4),DDR4
11571746,ASRock B550 Phantom Gaming 4 에즈윈,https://img.danawa.com/prod_img/500000/746/571/img/11571746_1.jpg?shrink=330:330&_v=20210730144636,189900,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=11571746&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P2129103475&package=0&setpc=0&r=16678665528497,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,5.0,1,ASRock ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
12067610,ASUS PRIME A520M-K 아이보라,https://img.danawa.com/prod_img/500000/610/067/img/12067610_1.jpg?shrink=330:330&_v=20220429165333,95870,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=12067610&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3758784255&package=0&setpc=0&r=16678642905986,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.3,3,ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
13512716,GIGABYTE B450 AORUS ELITE V2 피씨디렉트,https://img.danawa.com/prod_img/500000/716/512/img/13512716_1.jpg?shrink=330:330&_v=20210607145457,286810,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=13512716&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P5342223868&package=0&setpc=0&r=16678677569723,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.8,7,GIGABYTE ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4
