product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,amd_cpu_category,cpu_socket,cpu_gen,intel_cpu_category,cpu_tdp,cpu_maximum_clock
11020131,AMD 라이젠5-3세대 3600 (마티스) (해외구매),https://img.danawa.com/prod_img/500000/131/020/img/11020131_1.jpg?shrink=330:330&_v=20200429161834,269870,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=960&cate4=0&pcode=11020131&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B754689721&package=0&setpc=0&r=16678524234656,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.4,10,AMD ( 제조사 웹사이트 바로가기),라이젠5-3세대,AMD(소켓AM4),3세대(Zen2),,65W,4.2GHz
11480694,인텔 코어i5-10세대 10500 (코멧레이크S) (벌크),https://img.danawa.com/prod_img/500000/694/480/img/11480694_1.jpg?shrink=330:330&_v=20200722162146,270000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=11480694&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4881878086&package=0&setpc=0&r=16678525543410,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.9,16,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1200),,코어i5-10세대,65W,4.5GHz
5569026,인텔 코어i3-8세대 8100 (커피레이크) (벌크 + 쿨러),https://img.danawa.com/prod_img/500000/026/569/img/5569026_1.jpg?shrink=330:330&_v=20211201135314,139120,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=5569026&cmpnyc=PV606&safe_trade=4&fee_type=A&link_pcode=70352&package=0&setpc=0&r=16678529135615,초이스컴,https://img.danawa.com/cmpny_info/images/PV606_logo.gif,4.8,111,인텔 코어i3-8세대,,인텔(소켓1151v2),,인텔(코어i3-8세대),65W,
6066361,AMD 라이젠7-2세대 2700 (피나클 릿지) (정품),https://img.danawa.com/prod_img/500000/361/066/img/6066361_1.jpg?shrink=330:330&_v=20200515133136,549450,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=960&cate4=0&pcode=6066361&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1077001894&package=0&setpc=0&r=16678530905524,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.8,169,AMD 라이젠7-2세대,라이젠7-2세대,AMD(소켓AM4),2세대(Zen+),,65W,4.1GHz
7892860,인텔 코어i5-9세대 9600KF (커피레이크-R) (벌크),https://img.danawa.com/prod_img/500000/860/892/img/7892860_1.jpg?shrink=330:330&_v=20200305172427,283500,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=7892860&cmpnyc=PO30C&safe_trade=4&fee_type=A&link_pcode=124404&package=0&setpc=0&r=16678526102496,피시포올,https://img.danawa.com/cmpny_info/images/PO30C_logo.gif,4.8,37,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,인텔(코어i5-9세대),95W,4.6GHz
8062711,인텔 코어i7-9세대 9700F (커피레이크-R) (정품),https://img.danawa.com/prod_img/500000/711/062/img/8062711_1.jpg?shrink=330:330&_v=20200429104114,436600,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=8062711&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3943116635&package=0&setpc=0&r=16678530013471,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,150,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,인텔(코어i7-9세대),65W,4.7GHz
11479776,인텔 코어i7-10세대 10700K (코멧레이크S) (벌크),https://img.danawa.com/prod_img/500000/776/479/img/11479776_1.jpg?shrink=330:330&_v=20200707160542,444160,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=11479776&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565674840&package=0&setpc=0&r=16678527331398,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.8,26,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1200),,코어i7-10세대,125W,5.1GHz
6020667,인텔 코어i5-8세대 8500 (커피레이크) (정품),https://img.danawa.com/prod_img/500000/667/020/img/6020667_1.jpg?shrink=330:330&_v=20200707163244,335250,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=6020667&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=5732641510&package=0&setpc=0&r=16678528868767,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.7,386,인텔 코어i5-8세대,,인텔(소켓1151v2),,인텔(코어i5-8세대),65W,4.1GHz
5530356,인텔 코어i5-8세대 8400 (커피레이크) (정품),https://img.danawa.com/prod_img/500000/356/530/img/5530356_1.jpg?shrink=330:330&_v=20200707163045,343200,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=5530356&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P6188046644&package=0&setpc=0&r=16678528476435,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.8,224,인텔 코어i5-8세대,,인텔(소켓1151v2),,인텔(코어i5-8세대),65W,4.00GHz
10072065,인텔 코어X-시리즈 i9-10900X (캐스케이드레이크) (정품),https://img.danawa.com/prod_img/500000/065/072/img/10072065_1.jpg?shrink=330:330&_v=20200429110133,912990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=10072065&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3637298364&package=0&setpc=0&r=16678525209998,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,17,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓2066),,코어X-시리즈,165W,4.5GHz
10187988,인텔 코어X-시리즈 i9-10940X (캐스케이드레이크) (정품),https://img.danawa.com/prod_img/500000/988/187/img/10187988_1.jpg?shrink=330:330&_v=20200429110215,1219360,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=10187988&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565668349&package=0&setpc=0&r=16678528263727,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,5.0,3,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓2066),,코어X-시리즈,165W,4.6GHz
6705214,인텔 코어i5-9세대 9600K (커피레이크-R) (벌크 + 쿨러),https://img.danawa.com/prod_img/500000/214/705/img/6705214_1.jpg?shrink=330:330&_v=20200707161117,245800,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=6705214&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1577633699&package=0&setpc=0&r=16678529662331,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.8,11,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,인텔(코어i5-9세대),95W,4.60GHz
7892803,인텔 코어i7-9세대 9700KF (커피레이크-R) (벌크),https://img.danawa.com/prod_img/500000/803/892/img/7892803_1.jpg?shrink=330:330&_v=20190530111734,498650,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=7892803&cmpnyc=PO30C&safe_trade=4&fee_type=A&link_pcode=123563&package=0&setpc=0&r=16678527165452,피시포올,https://img.danawa.com/cmpny_info/images/PO30C_logo.gif,5.0,16,인텔 ( 제조사 웹사이트 바로가기),,인텔(소켓1151v2),,인텔(코어i7-9세대),95W,4.9GHz
5627038,인텔 코어i3-8세대 8100 (커피레이크) (병행수입 박스),https://img.danawa.com/prod_img/500000/038/627/img/5627038_1.jpg?shrink=330:330&_v=20211201135314,295220,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=5627038&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1086203888&package=0&setpc=0&r=16678529098386,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.9,10,인텔 코어i3-8세대,,인텔(소켓1151v2),,인텔(코어i3-8세대),65W,
4370096,인텔 제온 E5-2630 v4 (브로드웰-EP) (정품),https://img.danawa.com/prod_img/500000/096/370/img/4370096_1.jpg?shrink=330:330&_v=20160823121348,1000000,http://shop.danawa.com/virtualestimate/?controller=estimate&methods=moveEstimateMiniShop&memberId=PP621&productSeq=4370096&serviceId=blog&marketPlaceSeq=33,솔립네트웍스,https://img.danawa.com/cmpny_info/images/PP621_logo.gif,5.0,3,인텔 제온,,인텔(소켓2011-V3),,인텔(제온),85W,3.1GHz
6566789,인텔 코어i9-9세대 9900K (커피레이크-R) (병행수입 박스),https://img.danawa.com/prod_img/500000/789/566/img/6566789_1.jpg?shrink=330:330&_v=20200707160124,1255330,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=873&cate3=959&cate4=0&pcode=6566789&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1095277703&package=0&setpc=0&r=16678528107450,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.6,25,인텔 코어i9-9세대,,인텔(소켓1151v2),,인텔(코어i9-9세대),95W,5.00GHz
