product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,power_rate,cable_type,power_category
11242917,시소닉 A12 STANDARD 230V EU SSR-700RA LLC,https://img.danawa.com/prod_img/500000/917/242/img/11242917_1.jpg?shrink=330:330&_v=20201224103903,82000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=11242917&cmpnyc=TU111&safe_trade=4&fee_type=N&link_pcode=4923108423&package=0&setpc=0&r=16678772888908,히트정보,,4.6,89,시소닉 ( 제조사 웹사이트 바로가기),700W,케이블일체형,ATX 파워
3182134,에너지옵티머스 Mach III 500K v2.3,https://img.danawa.com/prod_img/500000/134/182/img/3182134_1.jpg?shrink=330:330&_v=20210129172026,32900,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=3182134&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1987031523&package=0&setpc=0&r=16678799239033,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,309,에너지옵티머스,500W,케이블일체형,ATX 파워
12690218,3RSYS AK 500S 80PLUS STANDARD 230V EU,https://img.danawa.com/prod_img/500000/218/690/img/12690218_1.jpg?shrink=330:330&_v=20210405103744,41000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=12690218&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565681843&package=0&setpc=0&r=16678786495975,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,10,3RSYS ( 제조사 웹사이트 바로가기),500W,케이블일체형,ATX 파워
10448835,시소닉 FOCUS GOLD GM-850 Modular,https://img.danawa.com/prod_img/500000/835/448/img/10448835_1.jpg?shrink=330:330&_v=20201224105733,175990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=10448835&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2562215631&package=0&setpc=0&r=16678768444619,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,172,시소닉 ( 제조사 웹사이트 바로가기),850W,세미모듈러,ATX 파워
9782097,시소닉 FOCUS GOLD GM-750 Modular,https://img.danawa.com/prod_img/500000/097/782/img/9782097_1.jpg?shrink=330:330&_v=20210106130053,151990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=9782097&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C735353194&package=0&setpc=0&r=16678770518380,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,300,시소닉 ( 제조사 웹사이트 바로가기),750W,세미모듈러,ATX 파워
2451400,AONE 태왕 EP600L KC,https://img.danawa.com/prod_img/500000/400/451/img/2451400_1.jpg?shrink=330:330&_v=20210127101548,23000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=2451400&cmpnyc=TT347F&safe_trade=4&fee_type=N&link_pcode=4851188111&package=0&setpc=0&r=16678787653538,컴센터,,4.5,51,AONE,230W,케이블일체형,ATX 파워
8431077,마이크로닉스 Classic II 800W 80PLUS 230V EU,https://img.danawa.com/prod_img/500000/077/431/img/8431077_1.jpg?shrink=330:330&_v=20220118165745,99500,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=8431077&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1760943727&package=0&setpc=0&r=16678773717016,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,217,마이크로닉스 ( 제조사 웹사이트 바로가기),800W,케이블일체형,ATX 파워
12364757,마이크로닉스 CASLON M 600W 80PLUS 230V EU,https://img.danawa.com/prod_img/500000/757/364/img/12364757_1.jpg?shrink=330:330&_v=20220119132530,49400,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=12364757&cmpnyc=TN729&safe_trade=4&fee_type=T&link_pcode=2004895015_2004895015&package=0&setpc=0&r=16678775355303,위메프,https://img.danawa.com/cmpny_info/images/TN729_logo.gif,4.8,102,마이크로닉스 ( 제조사 웹사이트 바로가기),600W,케이블일체형,ATX 파워
16200560,맥스엘리트 MAXWELL BARON 800W 80PLUS BRONZE 플랫,https://img.danawa.com/prod_img/500000/560/200/img/16200560_1.jpg?shrink=330:330&_v=20220519093513,87000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=16200560&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P6292984383&package=0&setpc=0&r=16678768143884,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.8,39,맥스엘리트 ( 제조사 웹사이트 바로가기),800W,케이블일체형,ATX 파워
9327009,마이크로닉스 Classic II 850W 80PLUS Bronze 230V EU HDB,https://img.danawa.com/prod_img/500000/009/327/img/9327009_1.jpg?shrink=330:330&_v=20220118170257,110000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=9327009&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P319898725&package=0&setpc=0&r=16678790879216,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.6,40,마이크로닉스 ( 제조사 웹사이트 바로가기),850W,케이블일체형,ATX 파워
12991316,마이크로닉스 CASLON M 800W 80PLUS 230V EU,https://img.danawa.com/prod_img/500000/316/991/img/12991316_1.jpg?shrink=330:330&_v=20220119132617,77500,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=12991316&cmpnyc=ED907&safe_trade=4&fee_type=T&link_pcode=2128049978&package=0&setpc=0&r=16678776598446,현대Hmall,https://img.danawa.com/cmpny_info/images/ED907_logo.gif,4.6,22,마이크로닉스 ( 제조사 웹사이트 바로가기),800W,케이블일체형,ATX 파워
9747777,FSP HYDRO G PRO 1000W 80PLUS Gold Full Modular,https://img.danawa.com/prod_img/500000/777/747/img/9747777_1.jpg?shrink=330:330&_v=20210906101702,215000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=9747777&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=9954721600&package=0&setpc=0&r=16678768759828,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.9,214,FSP ( 제조사 웹사이트 바로가기),1000W,풀모듈러,ATX 파워
4027451,FSP HYPER K 500W 80PLUS Standard 230V EU,https://img.danawa.com/prod_img/500000/451/027/img/4027451_1.jpg?shrink=330:330&_v=20210107094405,48400,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=880&cate3=997&cate4=0&pcode=4027451&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5453866030&package=0&setpc=0&r=16678770344738,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,798,FSP ( 제조사 웹사이트 바로가기),500W,케이블일체형,ATX 파워
