product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,hdd_category,disk_size,disk_capacity,hdd_interface,hdd_rpm,buffer_capacity,transfer_speed,record_system,disk_count,hdd_thickness
2212162,"Western Digital WD RED 5400/64M (WD40EFRX, 4TB)",https://img.danawa.com/prod_img/500000/162/212/img/2212162_1.jpg?shrink=330:330&_v=20200729134517,159000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=2212162&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1480219444&package=0&setpc=0&r=16678750641658,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,820,Western Digital WD,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 150MB/s,CMR(PMR),플래터 3장,26.1mm
5764951,"Seagate BarraCuda 5400/256M (ST6000DM003, 6TB)",https://img.danawa.com/prod_img/500000/951/764/img/5764951_1.jpg?shrink=330:330&_v=20220629141328,165000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5764951&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=7882133606&package=0&setpc=0&r=16678748085815,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.6,131,Seagate,HDD (PC용),8.9cm(3.5인치),6TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 185MB/s,SMR(PMR),플래터 3장,26.11mm
6295581,"도시바 X300 7200/128M (HDWE140, 4TB)",https://img.danawa.com/prod_img/500000/581/295/img/6295581_1.jpg?shrink=330:330&_v=20200528134742,150000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6295581&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1485098604&package=0&setpc=0&r=16678750901994,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,190,도시바,HDD (PC용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"7,200RPM",메모리 128MB,,확인요망(PMR),,26.1mm
6295608,"도시바 X300 7200/256M (HDWR180, 8TB)",https://img.danawa.com/prod_img/500000/608/295/img/6295608_1.jpg?shrink=330:330&_v=20200528134739,279000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6295608&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3972153289&package=0&setpc=0&r=16678750381047,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.6,49,도시바,HDD (PC용),8.9cm(3.5인치),8TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,,확인요망(PMR),,26.1mm
5814316,"Western Digital WD PURPLE 5400/64M (WD40PURZ, 4TB)",https://img.danawa.com/prod_img/500000/316/814/img/5814316_1.jpg?shrink=330:330&_v=20200528104836,158000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=5814316&cmpnyc=TU48C&safe_trade=4&fee_type=N&link_pcode=5081894203&package=0&setpc=0&r=16678751474537,WD공식인증점,,4.7,341,Western Digital WD,HDD (CCTV용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 150MB/s,CMR(PMR),,26.1mm
5638941,"Seagate BarraCuda 5400/256M/해외구매 (ST4000DM004, 4TB)",https://img.danawa.com/prod_img/500000/941/638/img/5638941_1.jpg?shrink=330:330&_v=20200528093625,81540,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5638941&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1688486464&package=0&setpc=0&r=16678748808756,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.6,195,Seagate,HDD (PC용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,400RPM",메모리 256MB,,SMR(PMR),,20mm
1218955,"Western Digital WD BLUE 7200/16M (WD5000AAKX, 500GB)",https://img.danawa.com/prod_img/500000/955/218/img/1218955_1.jpg?shrink=330:330&_v=20200528094214,62790,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1218955&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=477994085&package=0&setpc=0&r=16678755785161,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,87,Western Digital WD,HDD (PC용),8.9cm(3.5인치),500GB,SATA3(6Gb/s),"7,200RPM",메모리 16MB,최대 126MB/s,,,25.4mm
6288798,"도시바 P300 7200/64M (HDWD110, 1TB)",https://img.danawa.com/prod_img/500000/798/288/img/6288798_1.jpg?shrink=330:330&_v=20211115130248,62900,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6288798&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=6288798&package=0&setpc=0&r=16678751025812,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.7,159,도시바,HDD (PC용),8.9cm(3.5인치),1TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,,CMR(PMR),,26.1mm
4555795,"Seagate IronWolf 5900/64M (ST4000VN008, 4TB)",https://img.danawa.com/prod_img/500000/795/555/img/4555795_1.jpg?shrink=330:330&_v=20220629140050,175000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=4555795&cmpnyc=COM25&safe_trade=2&fee_type=S&link_pcode=&package=0&setpc=0&r=16678749676083,㈜근호컴,https://img.danawa.com/cmpny_info/images/COM25_logo.gif,4.7,553,Seagate,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,900RPM",메모리 64MB,최대 180MB/s,,플래터 3장,26.1mm
1920195,"Western Digital WD Caviar Blue 7200/64M/리퍼비시 (WD10EZEX, 1TB)",https://img.danawa.com/prod_img/500000/195/920/img/1920195_1.jpg?shrink=330:330&_v=20200528100050,44700,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=17942&cate4=0&pcode=1920195&cmpnyc=TT821F&safe_trade=4&fee_type=N&link_pcode=455900954&package=0&setpc=0&r=16678755618140,데이터복구명정보기술,,4.6,272,Western Digital WD,HDD (리퍼비시),8.9cm(3.5인치),1TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,,,,
5657614,"Seagate BarraCuda 5400/256M (ST3000DM007, 3TB)",https://img.danawa.com/prod_img/500000/614/657/img/5657614_1.jpg?shrink=330:330&_v=20220629141256,119000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5657614&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2575800101&package=0&setpc=0&r=16678748162754,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,240,Seagate,HDD (PC용),8.9cm(3.5인치),3TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 185MB/s,SMR(PMR),플래터 2장,20.2mm
5814177,"Western Digital WD PURPLE 5400/64M (WD20PURZ, 2TB)",https://img.danawa.com/prod_img/500000/177/814/img/5814177_1.jpg?shrink=330:330&_v=20200528104836,72000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=5814177&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1952025714&package=0&setpc=0&r=16678751629474,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.8,276,Western Digital WD,HDD (CCTV용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 145MB/s,CMR(PMR),,26.1mm
5386514,"Western Digital WD MOBILE BLUE 5400/128M/노트북용 (WD10SPZX, 1TB)",https://img.danawa.com/prod_img/500000/514/386/img/5386514_1.jpg?shrink=330:330&_v=20200528094937,60810,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=978&cate4=0&pcode=5386514&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5489031154&package=0&setpc=0&r=16678749121249,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.7,828,Western Digital WD,HDD (노트북용),6.4cm(2.5인치),1TB,SATA3 (6Gb/s),"5,400RPM",메모리 128MB,,SMR(PMR),플래터 1장,7mm
1790810,"도시바 DT01 7200/64M (DT01ACA200, 2TB)",https://img.danawa.com/prod_img/500000/810/790/img/1790810_1.jpg?shrink=330:330&_v=20200528112851,61890,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1790810&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B235796344&package=0&setpc=0&r=16678755145990,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.6,535,도시바,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,,,,26.1mm
10780305,"Western Digital WD RED 5400/256M (WD40EFAX, 4TB)",https://img.danawa.com/prod_img/500000/305/780/img/10780305_1.jpg?shrink=330:330&_v=20200528105319,158990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=10780305&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1893111530&package=0&setpc=0&r=16678753616658,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.2,29,Western Digital WD,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 180MB/s,SMR(PMR),플래터 3장,26.1mm
7691887,"Western Digital WD BLUE 5400/256M (WD60EZAZ, 6TB)",https://img.danawa.com/prod_img/500000/887/691/img/7691887_1.jpg?shrink=330:330&_v=20211206171308,160410,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=7691887&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5552983016&package=0&setpc=0&r=16678749799805,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.5,53,Western Digital WD,HDD (PC용),8.9cm(3.5인치),6TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 180MB/s,SMR(PMR),,26.1mm
1464268,"Seagate BarraCuda 7200/16M (ST500DM002, 500GB)",https://img.danawa.com/prod_img/500000/268/464/img/1464268_1.jpg?shrink=330:330&_v=20200528093631,64990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1464268&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=779085123&package=0&setpc=0&r=16678755932238,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.9,65,Seagate,HDD (PC용),8.9cm(3.5인치),500GB,SATA3(6Gb/s),"7,200RPM",메모리 16MB,,,,20mm
4607468,"Seagate BarraCuda 5400/128M/노트북용 (ST2000LM015, 2TB)",https://img.danawa.com/prod_img/500000/468/607/img/4607468_1.jpg?shrink=330:330&_v=20220629142846,99000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=978&cate4=0&pcode=4607468&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1000802771&package=0&setpc=0&r=16678751982942,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.7,992,Seagate,HDD (노트북용),6.4cm(2.5인치),2TB,SATA3 (6Gb/s),"5,400RPM",메모리 128MB,최대 140MB/s,SMR(PMR),플래터 2장,7mm
