,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,냉각 방식,상세정보쿨러 높이,상세정보TDP,상세정보팬 크기,인텔 소켓LGA1700,인텔 소켓LGA1200,인텔 소켓LGA115x,인텔 소켓LGA2066,인텔 소켓LGA2011-V3,인텔 소켓LGA775,인텔 소켓LGA2011,인텔 소켓LGA1366,AMD 소켓AM4,AMD 소켓AM5,AMD 소켓FMx/AMx(AM1/4외),AMD 소켓sTRX4,AMD 소켓TR4,AMD 소켓AM1,review_size,review_mean,review_count,final_score,Test,Rank
535,3582508,잘만 CNPS7X LED+,2015년 11월,https://img.danawa.com/prod_img/500000/508/582/img/3582508_1.jpg?shrink=330:330&_v=20191022143858,27000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=3582508&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=3582508&package=0&setpc=0&r=16678878007172,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.5,(210),잘만,공랭,높이 134mm,,92mm,,○,○,,,○,,,○,,○,,,,2,0.5,212,26.215891153108444,0.30666666666666664,536
536,9390051,SilverStone SST-PF360-ARGB STCOM,2019년 08월,https://img.danawa.com/prod_img/500000/051/390/img/9390051_1.jpg?shrink=330:330&_v=20210120181010,161730.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=9390051&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1959094624&package=0&setpc=0&r=16678881431616,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,3.8,(9),SilverStone ( 제조사 웹사이트 바로가기),수랭,,,120mm,,○,○,○,,○,○,○,○,,○,,,,12,-0.5,21,17.940064142307413,0.30554628083843444,537
537,16046924,darkFlash Ellsworth S11 PRO ARGB (블랙),2021년 12월,https://img.danawa.com/prod_img/500000/924/046/img/16046924_1.jpg?shrink=330:330&_v=20220705144250,27450.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=16046924&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565697712&package=0&setpc=0&r=16678825473928,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,5.0,(6),darkFlash ( 제조사 웹사이트 바로가기),공랭,158mm,180W,120mm,○,○,○,○,,○,○,○,○,,○,,,,2,0.0,8,13.83667150342942,0.3032422586520947,538
538,11492712,쿨러마스터 SICKLEFLOW 120 ARGB 3 in 1,2020년 06월,https://img.danawa.com/prod_img/500000/712/492/img/11492712_1.jpg?shrink=330:330&_v=20210818154547,40700.0,http://shop.danawa.com/virtualestimate/?controller=estimate&methods=moveEstimateMiniShop&memberId=PL553&productSeq=11492712&serviceId=blog&marketPlaceSeq=33,㈜한마음아이티,https://img.danawa.com/cmpny_info/images/PL553_logo.gif,5.0,(6),쿨러마스터 ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,3,-0.33,9,8.628497188810854,0.3022113022113022,539
539,11467347,쿨러마스터 MasterLiquid ML360L V2 ARGB (BLACK),2020년 06월,https://img.danawa.com/prod_img/500000/347/467/img/11467347_1.jpg?shrink=330:330&_v=20220928142506,150120.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=11467347&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565674712&package=0&setpc=0&r=16678837262966,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,5.0,(10),쿨러마스터 ( 제조사 웹사이트 바로가기),수랭,,200W,120mm x3,○,○,○,○,○,,○,,○,○,○,,,,11,-0.09,21,12.076914075469832,0.3004263256061817,540
540,14362868,ARCTIC FREEZER 50,2021년 06월,https://img.danawa.com/prod_img/500000/868/362/img/14362868_1.jpg?shrink=330:330&_v=20220224100026,95710.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=14362868&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2477030662&package=0&setpc=0&r=16678842292463,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,5.0,(2),ARCTIC ( 제조사 웹사이트 바로가기),공랭,166mm,250W,140mm,○,○,○,○,○,,○,,○,,,,,,7,-0.43,9,12.524861122991297,0.3000104482290252,541
541,2684519,NOCTUA NF-F12 IndustrialPPC-3000 PWM,2014년 07월,https://img.danawa.com/prod_img/500000/519/684/img/2684519_1.jpg?shrink=330:330&_v=20190430105801,40990.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=2684519&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2492067772&package=0&setpc=0&r=16678894303035,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.6,(15),NOCTUA,,,,,,,,,,,,,,,,,,,3,0.0,18,8.935904103188607,0.2999268114174189,542
542,7623319,ALSEYE Halo 3.0 PWM,2019년 04월,https://img.danawa.com/prod_img/500000/319/623/img/7623319_1.jpg?shrink=330:330&_v=20200626124419,13870.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=7623319&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1549726779&package=0&setpc=0&r=16678880714061,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.6,(60),ALSEYE ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,1,-1.0,61,15.79300011381328,0.29401586157173754,543
543,6691624,앱코 SUITMASTER CORONA 120F RGB SPECTRUM,2018년 11월,https://img.danawa.com/prod_img/500000/624/691/img/6691624_1.jpg?shrink=330:330&_v=20190320140619,28260.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=6691624&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P332255922&package=0&setpc=0&r=16678886735386,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.5,(21),앱코 ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,2,0.0,23,22.615380970866,0.29341825902335456,544
544,16426370,앱코 T240 THETIS ARGB (블랙),2022년 02월,https://img.danawa.com/prod_img/500000/370/426/img/16426370_1.jpg?shrink=330:330&_v=20220629161709,98000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=16426370&cmpnyc=TSA30D&safe_trade=4&fee_type=N&link_pcode=6309774444&package=0&setpc=0&r=16678831036244,앱코공식스토어,,4.7,(4),앱코 ( 제조사 웹사이트 바로가기),수랭,,280W,120mm x2,○,○,○,○,○,,○,○,○,,○,,,,7,0.14,11,14.152781804797426,0.29028571428571426,545
545,14885066,ARCTIC Liquid Freezer II 420 피씨디렉트,2021년 07월,https://img.danawa.com/prod_img/500000/066/885/img/14885066_1.jpg?shrink=330:330&_v=20220630170931,171500.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=14885066&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4926796846&package=0&setpc=0&r=16678818529281,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,(1),ARCTIC ( 제조사 웹사이트 바로가기),수랭,,,140mm x3,○,○,○,○,○,,,,○,,,,,,12,-0.08,13,14.947916554401171,0.2877201166180758,546
546,11780869,마이크로닉스 COOLMAX AID W360 ARGB (WHITE),2020년 07월,https://img.danawa.com/prod_img/500000/869/780/img/11780869_1.jpg?shrink=330:330&_v=20220729173328,86000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=11780869&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=8152192566&package=0&setpc=0&r=16678833289553,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,5.0,(2),마이크로닉스 ( 제조사 웹사이트 바로가기),수랭,,,120mm x3,,○,○,,○,○,○,○,○,,○,,,,6,0.0,8,12.377027485371466,0.28674418604651164,547
547,15902090,Thermalright SILVER SOUL 135 서린,2021년 10월,https://img.danawa.com/prod_img/500000/090/902/img/15902090_1.jpg?shrink=330:330&_v=20220602164959,86960.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=15902090&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C674688591&package=0&setpc=0&r=16678845737295,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,5.0,(3),Thermalright ( 제조사 웹사이트 바로가기),공랭,135mm,,120mm,○,○,○,○,○,,○,,○,,,,,,6,0.17,9,11.911673020082649,0.28578656853725853,548
