,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,기본 사양CPU 소켓,메모리메모리 종류,review_size,review_mean,review_count,final_score,Test,Rank
119,8511207,ASUS PRIME X570-PRO/CSM STCOM,2019년 07월,https://img.danawa.com/prod_img/500000/207/511/img/8511207_1.jpg?shrink=330:330&_v=20220517170446,319900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=8511207&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=8511207&package=0&setpc=0&r=16678639364001,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.4,(16),ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,26,-0.15,42,13.545290898823756,0.33387933729290403,120
120,16168196,GIGABYTE B660M GAMING D4 제이씨현,2022년 01월,https://img.danawa.com/prod_img/500000/196/168/img/16168196_1.jpg?shrink=330:330&_v=20220125135210,134240.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16168196&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C777922143&package=0&setpc=0&r=16678643127036,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.9,(11),GIGABYTE ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4,11,0.18,22,14.817094554507614,0.33219606674612634,121
121,8497905,GIGABYTE X570 AORUS ELITE 피씨디렉트,2019년 07월,https://img.danawa.com/prod_img/500000/905/497/img/8497905_1.jpg?shrink=330:330&_v=20220518161248,280000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=8497905&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1491988491&package=0&setpc=0&r=16678637644847,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.6,(127),GIGABYTE ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,22,0.09,149,13.17790290038818,0.3227714285714286,122
122,13423211,ASUS PRIME B560-PLUS 코잇,2021년 02월,https://img.danawa.com/prod_img/500000/211/423/img/13423211_1.jpg?shrink=330:330&_v=20210831164946,178600.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=13423211&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=5095755458&package=0&setpc=0&r=16678656534658,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,5.0,(2),ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4,14,-0.14,16,17.902078315412076,0.3184098544232923,123
123,13512974,ASRock B560 PRO4 디앤디컴,2021년 03월,https://img.danawa.com/prod_img/500000/974/512/img/13512974_1.jpg?shrink=330:330&_v=20210902155543,130820.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=13512974&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4997673280&package=0&setpc=0&r=16678653056285,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,(5),ASRock ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4,10,0.1,15,17.605367004522975,0.31126739030729245,124
124,13598225,ASUS ROG STRIX B560-G GAMING WIFI STCOM,2021년 03월,https://img.danawa.com/prod_img/500000/225/598/img/13598225_1.jpg?shrink=330:330&_v=20210831165327,145110.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=13598225&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C371028091&package=0&setpc=0&r=16678656887090,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.6,(8),ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4,11,-0.18,19,14.351170556206744,0.3086761766935428,125
125,11877574,COLORFUL CVN B460M GAMING PRO V20 STCOM,2020년 07월,https://img.danawa.com/prod_img/500000/574/877/img/11877574_1.jpg?shrink=330:330&_v=20210127172347,109200.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=11877574&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=5000754406&package=0&setpc=0&r=16678647851306,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.2,(5),COLORFUL ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4,8,-0.62,13,15.331748843404984,0.3010989010989011,126
126,13240724,ASUS TUF Gaming B550-PRO STCOM,2021년 01월,https://img.danawa.com/prod_img/500000/724/240/img/13240724_1.jpg?shrink=330:330&_v=20220512160908,271710.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=13240724&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3930008117&package=0&setpc=0&r=16678637812051,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.6,(6),ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,20,-0.2,26,15.63444084650754,0.2982591733833867,127
127,16357988,MSI PRO B660M-A WIFI DDR4,2022년 02월,https://img.danawa.com/prod_img/500000/988/357/img/16357988_1.jpg?shrink=330:330&_v=20220615170849,186740.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16357988&cmpnyc=PV606&safe_trade=4&fee_type=A&link_pcode=146503&package=0&setpc=0&r=16678637168818,초이스컴,https://img.danawa.com/cmpny_info/images/PV606_logo.gif,4.6,(14),MSI ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4,13,-0.08,27,15.275736093160512,0.28291742529720465,128
128,12481742,ASUS TUF Gaming X570-PRO (Wi-Fi) STCOM,2020년 10월,https://img.danawa.com/prod_img/500000/742/481/img/12481742_1.jpg?shrink=330:330&_v=20210820113125,355500.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=12481742&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C223116940&package=0&setpc=0&r=16678671034007,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.1,(6),ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,24,-0.17,30,17.46815180612707,0.27949367088607596,129
