,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,[기본사양]용량,[기본사양]RAM 타입,review_size,review_mean,review_count,final_score,Test,Rank
20,7136788,삼성전자 970 EVO Plus M.2 NVMe (1TB),2019년 01월,https://img.danawa.com/prod_img/500000/788/136/img/7136788_1.jpg?shrink=330:330&_v=20220830162012,149780.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=7136788&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B691695083&package=0&setpc=0&r=16678692578482,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,"(1,090)",삼성전자,1TB,DDR4 1GB,64,0.5,1154,21.406130308400066,1.7296835358525837,21
21,12660173,Western Digital WD BLACK SN850 M.2 NVMe (1TB),2020년 11월,https://img.danawa.com/prod_img/500000/173/660/img/12660173_1.jpg?shrink=330:330&_v=20220928141804,178000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=12660173&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5565681503&package=0&setpc=0&r=16678694842160,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.9,(74),Western Digital ( 제조사 웹사이트 바로가기),1TB,,68,-0.01,142,18.91702262752777,1.5853932584269663,22
22,5734544,마이크론 Crucial MX500 대원씨티에스 (1TB),2017년 12월,https://img.danawa.com/prod_img/500000/544/734/img/5734544_1.jpg?shrink=330:330&_v=20220830161720,105620.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=5734544&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C607948632&package=0&setpc=0&r=16678692047443,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,"(1,005)",마이크론 Crucial,1TB,,39,-0.23,1044,23.41545246273482,1.533857224010604,23
23,8781896,리뷰안 NVMe M.2 PCIe 어댑터 (EX2M2) (SSD미포함),2019년 07월,https://img.danawa.com/prod_img/500000/896/781/img/8781896_1.jpg?shrink=330:330&_v=20210223174820,16890.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32625&cate4=0&pcode=8781896&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2489574787&package=0&setpc=0&r=16678716138998,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.6,(117),리뷰안 ( 제조사 웹사이트 바로가기),,,6,0.0,123,18.98603186066018,1.4593250444049735,24
24,7807294,리뷰안 NVMe M.2 PCIe 어댑터 (RT-PCI4M110) (SSD미포함),2019년 04월,https://img.danawa.com/prod_img/500000/294/807/img/7807294_1.jpg?shrink=330:330&_v=20210223174917,16890.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32625&cate4=0&pcode=7807294&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1831960044&package=0&setpc=0&r=16678724001711,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.4,(34),리뷰안 ( 제조사 웹사이트 바로가기),,,6,0.0,40,17.499875600770526,1.4486678507992896,25
25,13562714,삼성전자 980 M.2 NVMe (1TB),2021년 03월,https://img.danawa.com/prod_img/500000/714/562/img/13562714_1.jpg?shrink=330:330&_v=20210512113015,113900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=13562714&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=13984669578&package=0&setpc=0&r=16678691117436,티몬,https://img.danawa.com/cmpny_info/images/TN920_logo.gif,4.8,(792),삼성전자 ( 제조사 웹사이트 바로가기),1TB,,40,0.28,832,24.508094332001228,1.4300263388937664,26
26,10120467,Western Digital WD BLUE SN550 M.2 NVMe (1TB),2019년 12월,https://img.danawa.com/prod_img/500000/467/120/img/10120467_1.jpg?shrink=330:330&_v=20210903180024,131700.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=10120467&cmpnyc=PO30C&safe_trade=4&fee_type=A&link_pcode=118413&package=0&setpc=0&r=16678697914568,피시포올,https://img.danawa.com/cmpny_info/images/PO30C_logo.gif,4.8,(305),Western Digital ( 제조사 웹사이트 바로가기),1TB,,44,-0.05,349,18.84604259391091,1.3891571753986331,27
27,12961841,Sandisk ULTRA M.2 NVMe (1TB),2020년 12월,https://img.danawa.com/prod_img/500000/841/961/img/12961841_1.jpg?shrink=330:330&_v=20201228132722,140050.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=12961841&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3478204949&package=0&setpc=0&r=16678720202247,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,(416),Sandisk ( 제조사 웹사이트 바로가기),1TB,,46,-0.13,462,17.14971400082989,1.3663691538736165,28
28,4832566,BIOSTAR S100 Series (120GB),2017년 01월,https://img.danawa.com/prod_img/500000/566/832/img/4832566_1.jpg?shrink=330:330&_v=20201016110557,24270.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=4832566&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2164968417&package=0&setpc=0&r=16678694634475,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(381),BIOSTAR,120GB,,8,-0.12,389,33.79061563452465,1.3330037082818293,29
29,11708717,타무즈 GK300 (64GB),2019년 09월,https://img.danawa.com/prod_img/500000/717/708/img/11708717_1.jpg?shrink=330:330&_v=20220527134533,18650.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=11708717&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4808275855&package=0&setpc=0&r=16678693901305,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.6,(29),타무즈 ( 제조사 웹사이트 바로가기),64GB,,6,-0.33,35,20.56344806603505,1.3280428954423593,30
